null,null,m=3,m=3,m=3,m=3,m=4,m=4,m=4,m=4,m=5,m=5,m=5,m=5,m=6,m=6,m=6,m=6,m=6,m=7,m=7,m=7,m=7,m=7,m=7,m=8,m=8,m=8,m=8,m=8,m=8,m=8,m=9,m=9,m=9,m=9,m=9,m=9,m=9,m=9,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=10,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=11,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12,m=12
null,null,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=0,r=1,r=2,r=3,r=4,r=0,r=1,r=2,r=3,r=4,r=5,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=0,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10
n=10,p=3, , , , , , , , ,169419, , , ,229565, , , , ,24561, , , , , ,13377, , , , , , ,23732, , , , , , , ,1344, , , , , , , , ,457, , , , , , , , , ,177, , , , , , , , , , 
n=10,p=2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=10,p=1, , , , , , , , , , , , , , ,38, , , , ,123, , , , , ,1306, , , , , , ,2101, , , , , , , ,4148, , , , , , , , ,7331, , , , , , , , , ,17664, , , , , , , , 
n=10,p=0, , , , , , , , , , , , , , ,0,0,0, , ,0,0,0,0, , ,0,0,0,0,0, , ,3,0,0,0,0,0, , ,2,0,0,0,0,0,0, , ,2,0,0,0,0,0,0,0, , ,7,0,0,0,0,0,0,0,0
n=9,p=3, , , , ,2052294, , , ,819301, , , ,275983, , , , ,73646, , , , , ,21886, , , , , , ,9631, , , , , , , ,2557, , , , , , , , ,759, , , , , , , , , ,150, , , , , , , , , , 
n=9,p=2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
n=9,p=1, , , , , , , , , , , , , , ,121, , , , ,2074, , , , , ,3852, , , , , , ,8118, , , , , , , ,16193, , , , , , , , ,33347, , , , , , , , , ,65248, , , , , , , , 
n=9,p=0, , , , , , , , , , , , , , ,4,0,0, , ,1,0,0,0, , ,2,0,0,0,0, , ,6,0,0,0,0,0, , ,7,0,0,0,0,0,0, , ,21,1,0,0,0,0,0,0, , ,23,0,0,0,0,0,0,0,0
n=8,p=3, , , , , , , , ,1155615, , , ,514125, , , , ,117027, , , , , ,92570, , , , , , ,12925, , , , , , , ,8233, , , , , , , , ,1144, , , , , , , , , ,74, , , , , , , , , , 
